metric,value,step
agent0/rewards/,-1.2634319067001343,0.0
agent0/rewards/,-1.0928106307983398,4.0
agent0/rewards/,-1.1541516780853271,8.0
agent0/rewards/,-1.055108904838562,12.0
agent0/rewards/,-1.2759373188018799,16.0
agent0/rewards/,-1.3263061046600342,20.0
agent0/rewards/,-0.8985995650291443,24.0
agent0/rewards/,-1.2894656658172607,28.0
agent0/rewards/,-1.128450632095337,32.0
agent0/rewards/,-1.1231416463851929,36.0
agent0/rewards/,-1.1469035148620605,40.0
agent0/rewards/,-1.23463773727417,44.0
agent0/rewards/,-1.0021899938583374,48.0
agent0/rewards/,-1.2732855081558228,52.0
agent0/rewards/,-1.137656331062317,56.0
agent0/rewards/,-1.233358383178711,60.0
agent0/rewards/,-0.9343298077583313,64.0
agent0/rewards/,-1.0778669118881226,68.0
agent0/rewards/,-1.0526010990142822,72.0
agent0/rewards/,-1.2640725374221802,76.0
agent0/rewards/,-0.9015380144119263,80.0
agent0/rewards/,-1.3487309217453003,84.0
agent0/rewards/,-1.4142853021621704,88.0
agent0/rewards/,-0.8613593578338623,92.0
agent0/rewards/,-1.057883858680725,96.0
agent0/rewards/,-0.9734370708465576,100.0
agent0/rewards/,-1.200400710105896,104.0
agent0/rewards/,-0.9203932285308838,108.0
agent0/rewards/,-1.0748854875564575,112.0
agent0/rewards/,-1.1207444667816162,116.0
agent0/rewards/,-0.8337717056274414,120.0
agent0/rewards/,-0.855163037776947,124.0
agent0/rewards/,-1.0614006519317627,128.0
agent0/rewards/,-1.089119553565979,132.0
agent0/rewards/,-0.948280930519104,136.0
agent0/rewards/,-1.2549813985824585,140.0
agent0/rewards/,-0.8566554188728333,144.0
agent0/rewards/,-1.0042858123779297,148.0
agent0/rewards/,-1.2242317199707031,152.0
agent0/rewards/,-1.2504830360412598,156.0
agent0/rewards/,-1.2896356582641602,160.0
agent0/rewards/,-1.045428991317749,164.0
agent0/rewards/,-1.0613739490509033,168.0
agent0/rewards/,-1.0937392711639404,172.0
agent0/rewards/,-1.1652135848999023,176.0
agent0/rewards/,-1.4225966930389404,180.0
agent0/rewards/,-1.058889389038086,184.0
agent0/rewards/,-1.0931637287139893,188.0
agent0/rewards/,-1.170623540878296,192.0
agent0/rewards/,-1.2559764385223389,196.0
agent0/rewards/,-1.059789776802063,200.0
agent0/rewards/,-0.7438372373580933,204.0
agent0/rewards/,-1.3307322263717651,208.0
agent0/rewards/,-0.9439526796340942,212.0
agent0/rewards/,-0.8734017014503479,216.0
agent0/rewards/,-1.3696529865264893,220.0
agent0/rewards/,-1.211472988128662,224.0
agent0/rewards/,-0.9924929141998291,228.0
agent0/rewards/,-1.1364059448242188,232.0
agent0/rewards/,-1.3291281461715698,236.0
agent0/rewards/,-1.1499494314193726,240.0
agent0/rewards/,-0.9649712443351746,244.0
agent0/rewards/,-1.2307353019714355,248.0
agent0/rewards/,-1.1872336864471436,252.0
agent0/rewards/,-1.0401344299316406,256.0
agent0/rewards/,-0.9457870721817017,260.0
agent0/rewards/,-1.3413907289505005,264.0
agent0/rewards/,-1.0764464139938354,268.0
agent0/rewards/,-0.6982298493385315,272.0
agent0/rewards/,-1.2907859086990356,276.0
agent0/rewards/,-0.9289950132369995,280.0
agent0/rewards/,-1.17928147315979,284.0
agent0/rewards/,-1.068920373916626,288.0
agent0/rewards/,-1.0620423555374146,292.0
agent0/rewards/,-1.084648847579956,296.0
agent0/rewards/,-1.0255404710769653,300.0
agent0/rewards/,-1.130085825920105,304.0
agent0/rewards/,-1.0083789825439453,308.0
agent0/rewards/,-1.0934374332427979,312.0
agent0/rewards/,-1.0874570608139038,316.0
agent0/rewards/,-1.1986833810806274,320.0
agent0/rewards/,-0.9033732414245605,324.0
agent0/rewards/,-1.3863214254379272,328.0
agent0/rewards/,-1.0572142601013184,332.0
